datasize_list,ssdp_mr,ssdp_std,socp_mr,socp_std,socpeig_mr,socpeig_std,LTR_mr,LTR_std,RTR_mr,RTR_std
150,-2.117975844,0.01179617,-2.168214488,0.066190564,-4.12427073,0.013821173,-3.010914573,0.013222587,-1.648771912,0.052576579
200,-2.114729865,0.010618657,-2.136989945,0.050057108,-4.09757462,0.051355504,-2.987667886,0.018051961,-1.649191983,0.010276481
250,-2.113574844,0.018918127,-2.168223044,0.042152098,-4.109154538,0.048716927,-2.98082797,0.02721134,-1.667439728,0.057354364
300,-2.119756156,0.012170308,-2.181467553,0.04824511,-4.123939578,0.012288404,-2.979219726,0.017433179,-1.657389996,0.04891815
350,-2.109721746,0.012528598,-2.11504688,0.082125048,-4.107964098,0.032778631,-2.969266054,0.012069714,-1.658234663,0.03835563
400,-2.113628067,0.021313612,-2.176853774,0.049034695,-4.112253381,0.017640936,-2.956762307,0.012969706,-1.671324878,0.049006824
450,-2.108100362,0.010361715,-2.111255127,0.056420087,-4.090234853,0.0468211,-2.958519165,0.007964658,-1.653187404,0.039883004
500,-2.108791986,0.015666669,-2.153628267,0.085019188,-4.099253202,0.026941886,-2.950744694,0.014977299,-1.645168891,0.011329066
550,-2.110362605,0.016353457,-2.16295453,0.058419454,-4.109711156,0.016960127,-2.876480624,0.020285816,-1.663312176,0.083397332
600,-2.11482487,0.013894935,-2.161269118,0.077930378,-4.104569311,0.045445363,-2.876772117,0.017940106,-1.65362869,0.036447744
650,-2.111501941,0.017643076,-2.14025308,0.069838815,-4.104980125,0.015038381,-2.868945127,0.019692701,-1.657853308,0.040051193
700,-2.108309461,0.013177626,-2.162077122,0.067396888,-4.110762963,0.013066628,-2.876241087,0.016622633,-1.665788248,0.048160339
750,-2.107197004,0.012824543,-2.142563467,0.06024602,-4.100474529,0.038686139,-2.864607727,0.01698096,-1.681868572,0.085832192
800,-2.104100801,0.013059353,-2.133899453,0.062542666,-4.112079149,0.021311583,-2.866047985,0.011567358,-1.659821105,0.036589157
850,-2.105805352,0.021605393,-2.13752621,0.057086102,-4.098788251,0.039884024,-2.855401446,0.023548153,-1.671565276,0.051590608
900,-2.107838116,0.012666917,-2.118025619,0.058129077,-4.110102224,0.008533669,-2.871551958,0.014763609,-1.704371809,0.097940315
950,-2.103311411,0.017203892,-2.131387539,0.06774572,-4.112648826,0.009676447,-2.864493145,0.008981685,-1.668956131,0.037307468
1000,-2.102886103,0.016965933,-2.129169808,0.077217559,-4.097808689,0.028175762,-2.866616718,0.006506688,-1.656417638,0.035224446
1050,-2.104628725,0.016275399,-2.127176161,0.038836547,-4.116329244,0.010059274,-2.85430611,0.020012852,-1.667018704,0.049476241
1100,-2.09718701,0.0134047,-2.140344622,0.071987331,-4.10427117,0.013463028,-2.866220265,0.015395593,-1.669813536,0.042922383
1150,-2.087909247,0.011319798,-2.137874955,0.054244402,-4.114798445,0.009955562,-2.864086788,0.017121412,-1.705464566,0.080701012
1200,-2.092449763,0.015112872,-2.13992456,0.038084352,-4.115268888,0.007884525,-2.870369734,0.008176906,-1.66585013,0.046249714
1250,-2.094231093,0.013303439,-2.124333054,0.053233125,-4.109164845,0.013779044,-2.862264425,0.008806208,-1.658564507,0.028926107
1300,-2.095086663,0.014498475,-2.129701435,0.034807193,-4.112396564,0.011046647,-2.848835047,0.024102726,-1.652407252,0.0296243
