m_list,n_list,SOCPtime,time_eig_list,LTRtime,RTRtime,ratio1,ratio2
1000,1000,0.496,0.074,0.003,0.107,165,36
2000,2000,1.268,0.369,0.004,0.111,317,28
4000,4000,3.93,3.201,0.009,0.16,437,18
6000,6000,12.018,10.909,0.01,0.352,1202,35
8000,8000,29.057,25.343,0.009,0.363,3229,40
10000,10000,41.854,38.038,0.012,0.499,3488,42
15000,15000,130.071,118.582,0.018,0.54,7226,30
20000,20000,299.496,265.987,0.029,1.075,10327,37
25000,25000,591.172,509.912,0.038,1.285,15557,34
30000,30000,1040.441,888.321,0.056,2.323,18579,42
