m_list,n_list,SOCPtime,time_eig_list,LTRtime,RTRtime,ratio1,ratio2
500,1000,0.557,0.087,0.006,0.086,93,14
1000,2000,1.169,0.418,0.005,0.175,234,35
2000,4000,4.34,3.182,0.007,0.39,620,56
3000,6000,14.943,10.974,0.013,0.747,1150,58
4000,8000,33.7,25.25,0.02,1.042,1685,52
5000,10000,61.587,45.253,0.028,1.416,2200,51
7500,15000,153.075,117.389,0.053,2.379,2888,45
10000,20000,335.956,259.671,0.113,5.453,2973,48
12500,25000,638.175,491.391,0.168,7.715,3799,46
15000,30000,1082.261,832.413,0.235,12.09,4605,51
