,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-1.9770016388625893,0.033866067029704974,-2.561742684337762,0.009511148498913564,-7.379392241390068,3.9201423444317126e-05,-6.53420748555251,0.0002002399001192718,-2.9828732423045774,0.006019923649832889,107.07437492955648,105.34950538360545,93.27476954771264,94.59916400174261
110,-1.994319742151074,0.01704249968346686,-2.5744477547520868,0.007396781943049138,-7.435710106829949,7.068472890101195e-05,-6.54940274298729,0.00016023123946475298,-2.9571634942484586,0.00413896879864883,119.34242045598546,115.28206889731469,97.33842047633934,106.94362852306877
120,-1.9987118331223925,0.011026361895025547,-2.4349304463841555,0.01190871267107893,-7.2655165270190505,5.065021619010526e-05,-6.62489481180878,5.995060967085604e-05,-2.8669504031564337,0.0035534342780663944,128.7425596817947,136.18462177195278,113.25370801578356,105.36496504201787
130,-1.9102004963133248,0.012483245114235935,-2.259631260456083,0.04126206196331135,-7.229090658062066,8.555842214576132e-05,-6.496904698598907,9.500981002063886e-05,-2.825776608367609,0.004966167493669765,141.57126756706074,139.84268276127682,123.49767131769332,119.21348728608537
140,-1.8675108279250918,0.020452911807605962,-2.360512343489655,0.02332214458210455,-7.270405180338907,0.00012250588598119116,-6.7054677095472615,0.00014827496754153872,-2.92459874279236,0.004450600481848372,153.399766787205,154.43331957909282,125.90057741692945,124.9763648037333
150,-2.0588987961818446,0.01670960077751628,-2.4329482526303363,0.014448043909691656,-7.334883343724915,0.00011314837868779134,-6.625528057210284,8.62894408379624e-05,-2.8885652678595566,0.006759337022693689,149.43700167818457,160.31605160293424,139.6385639629636,134.8002159169784
160,-2.091212629906149,0.008715356763112901,-2.441790955010517,0.008797519057150925,-7.372827089661208,3.0166154876635753e-05,-6.592864250392031,0.00016727539837032443,-2.945436785654449,0.009979132883463934,169.4177979677165,171.9799403370623,149.04062779391205,145.18010839501113
170,-2.1683325604533956,0.01091457778992624,-2.4388560061090816,0.009968084636962268,-7.35958898561604,3.8689797105119725e-05,-6.633964241767391,7.777850860171302e-05,-2.9805042266374757,0.0050877637920221834,183.72425613238434,180.41501140149177,160.35827236662445,152.36146328087744
180,-2.163286475328499,0.004090086454840989,-2.4731010904408506,0.012889227629319515,-7.3939858558907305,6.521426531296878e-05,-6.589999973525015,5.3277691393061054e-05,-2.9830821342803007,0.006802477050930175,189.09710177020744,189.66373065711133,170.81701974504102,168.65516056828892
190,-2.1503419742622776,0.005812496630028604,-2.373405812549379,0.00623645170661316,-7.357407411982715,5.050158908455958e-05,-6.649460823426102,0.0002143702488677615,-2.920981283397308,0.004955316437326022,202.25856905702364,206.0891696288025,166.6947068136291,170.8563968289378
200,-2.109189744256508,0.00798647468301134,-2.334284966694168,0.005978513872538891,-7.3754256324350935,5.8261671792737226e-05,-6.453734954937411,0.0003431776771589011,-2.975118137390919,0.006496680542777017,216.47491700406277,213.49725481667565,181.47725100492207,188.48246612487165
210,-2.114467035086297,0.008240976388630517,-2.3718262810232678,0.008161955995862858,-7.398451531452171,6.140653060020989e-05,-6.601065012360846,0.00010241065179063584,-2.9246043466017424,0.00907331643591386,227.36607426825807,223.84744301119457,194.8792050234435,194.56980390952086
220,-2.1749169431325077,0.012210193921920255,-2.328747052045385,0.005470925578377134,-7.313200387287422,4.883033483478513e-05,-6.589810768403092,0.00016623898459761612,-2.8996116775356247,0.008539412423199376,245.68288945539047,239.05009580578343,198.2482661781898,203.0498118270356
230,-2.2415424879565307,0.006696495583931496,-2.246161471269975,0.006720661773343027,-6.971430173155036,0.0005683978227454359,-6.56828041191602,8.407453181590334e-05,-2.788226726442804,0.004753455905164027,249.93585390472154,254.99278380226224,210.9393679935434,209.868853642865
240,-2.235759501696402,0.010718514540552239,-2.26799836943562,0.002356318285290454,-7.304092176266573,4.0343321628647214e-05,-6.561495383860799,8.949419031281418e-05,-2.7777545422641627,0.005488512613999885,249.17466886778507,256.2508775473549,227.5067642102287,221.0180382910665
250,-2.1383000539862347,0.0152957717350109,-2.3890730433589367,0.010358753690977322,-7.366636986730598,8.548581695223827e-05,-6.587013258901431,8.201658673920649e-05,-2.954783067805116,0.006127172616241032,266.89405619417255,275.78834518565293,233.79936963705913,235.17674020216435
260,-2.155146862762514,0.014424069393973706,-2.373911184322688,0.00684878713493615,-7.383181584396713,3.8817362095847526e-05,-6.638759207483666,0.00016004731331844903,-3.001039043793107,0.008794561395961005,289.48821284798044,282.67147424910576,240.98166595967342,243.5384842733707
270,-2.0751823051194744,0.009187082669616818,-2.3632147835732984,0.007532183814547083,-7.379792975539372,6.474445227283507e-05,-6.601874806492408,0.0001387070495710714,-2.914772682329659,0.006391784033035631,291.68480172140823,290.086636858189,250.4855054442378,246.2382838430014
280,-2.0232936738250897,0.011994145644036128,-2.3824803948656648,0.007400281857199204,-7.372349565140415,4.718841913506672e-05,-6.620788462265147,0.0001307171664321521,-3.0223909414023735,0.008537488781747204,302.8127161307227,304.7056940812489,256.81632916548625,259.8566658323136
290,-2.0606927243483373,0.009812639782796456,-2.4264017695077045,0.009202767579138639,-7.4074761230181005,5.0205159096874324e-05,-6.573857782733292,0.0001446946163501955,-2.9105951198727458,0.006754655422767521,317.10292908342,314.594227217004,271.6521760827949,271.66204469444926
300,-1.9962417060605457,0.005474216079048467,-2.368937204359284,0.00658346957949415,-7.36235811164879,5.583470247150167e-05,-6.708003187126991,0.00010850499527620793,-2.9409225049163825,0.009956679059493516,326.036525330637,320.68703057961784,280.73123319665467,279.11262581169797
