,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-2.088043068977628,0.019102851951934466,-2.615597144444308,0.008507127396296181,-7.353870521378584,0.000126238555523672,-6.752513765758116,6.967651253865137e-05,-2.9824363516317263,0.004289733124077281,107.07465749327021,105.34959464606013,93.27476954787798,94.59916400173915
110,-2.0851146433335774,0.01084341791789211,-2.6237523900044617,0.009194157962907415,-7.478560940683523,4.7080442860696184e-05,-6.72745242506732,7.656363104938151e-05,-2.9341496479079066,0.003220206588125277,119.34272378500513,115.28209885914859,97.3384204765176,106.94362852306548
120,-2.1376434456486604,0.0050597572598013625,-2.571869707944991,0.00622629408602725,-7.417814529820703,4.40195002247398e-05,-6.72968441023924,7.379382697828155e-05,-2.9112627764293815,0.003980311240616633,128.74292288569322,136.18467792258076,113.25370801605895,105.36496504201969
130,-2.1468873248110683,0.008327809639155406,-2.5847916501443438,0.006610193445194959,-7.387243747438899,8.947756143349792e-05,-6.747594126854857,8.830999943240876e-05,-2.8930324287977154,0.004004767392200002,141.5718063705009,139.8427256039525,123.49767131792396,119.21348728608791
140,-2.142611996380524,0.006881729154375436,-2.632172385331659,0.009073939267069505,-7.445969228841827,5.3462387709234344e-05,-6.593243854004147,0.00013050423326738805,-2.9221302265123494,0.0063049796547769085,153.4002260357408,154.4333491811389,125.90057741713099,124.97636480373185
150,-2.160007813055578,0.008016587894333278,-2.6121315246513648,0.009658420651951079,-7.40818512656114,7.077989898126059e-05,-6.739490389178168,0.00012894184154554238,-2.8966638775788125,0.005912868070102084,149.43734242421002,160.31608596156582,139.63856396327137,134.8002159169784
160,-2.1301738986853334,0.00787201159056902,-2.6314652028836822,0.006761014149530153,-7.385533048711554,0.000101700287118096,-6.818792473930841,9.599458527084653e-05,-3.0198633017590057,0.005019628162050577,169.41816065704197,171.98002335038396,149.04062779426567,145.18010839501076
170,-2.2871392958550194,0.002620306853810148,-2.576392005566313,0.008268545728767254,-7.367776894713555,4.369281519822547e-05,-6.690163108101354,8.856547634285674e-05,-2.884060852605519,0.006564437311504131,183.724523793527,180.41504222155245,160.35827236693075,152.36146328087816
180,-2.268497145357851,0.0039039061026554197,-2.5908390622809585,0.0074365370012887035,-7.407772854041769,4.370516674146719e-05,-6.753524602358743,7.145909598918448e-05,-2.963712592913493,0.00284822742137458,189.09733143062348,189.6638029427195,170.8170197453921,168.65516056828602
190,-2.2580826795320093,0.002554006935879277,-2.649111281636966,0.005774709935065345,-7.358175912889397,7.374222942419306e-05,-6.742469680247094,9.8867952846012e-05,-2.9212699603298953,0.006110796429854709,202.25881870307143,206.08926310269158,166.6947068140318,170.85639682893196
200,-2.27283960914946,0.005583138950458411,-2.6864468431539934,0.006414908923934873,-7.457183140537009,6.639287311169209e-05,-6.741520760843454,9.103742362898725e-05,-2.9320005631179122,0.005794324089483412,216.4755276359851,213.4974578168448,181.4772510052775,188.4824661248753
210,-2.329325758914588,0.007498945845259922,-2.574059357791374,0.007424979516403301,-7.4196648233131315,6.661046839939833e-05,-6.809540231487745,6.819366539287191e-05,-2.939443458838314,0.005701831199020334,227.367124943247,223.8475438001508,194.8792050238706,194.56980390952594
220,-2.419504601597276,0.005472583229294873,-2.5908961632234937,0.0067578017088767905,-7.385065536748951,3.4480291473753006e-05,-6.7325590471331935,9.477198742491869e-05,-2.9740292249409874,0.0031700393340093366,245.684120870407,239.05029618724035,198.24826617860163,203.04981182702758
230,-2.440855468308655,0.004851861283012512,-2.57029239610403,0.007255195925005539,-7.436558196977323,4.482683237359215e-05,-6.728563615205789,7.045855873982861e-05,-2.9777685406139347,0.00548250416149708,249.93657510592965,254.99290835233114,210.93936799401416,209.86885364286064
240,-2.3822240405230537,0.010885846093806488,-2.5567493496096114,0.005617986140827134,-7.351327320730183,4.731439950133537e-05,-6.6475626014749665,7.635188013298857e-05,-2.9373443379463295,0.005233847328111737,249.1748716663874,256.25103287313345,227.50676421080644,221.01803829106575
250,-2.29119223872181,0.012260854155482307,-2.600765278304259,0.010302139040813155,-7.392052577730325,6.277411966469984e-05,-6.653206088192241,0.00015806566863574905,-2.967686436318978,0.004889472042323934,266.89475250006404,275.78853670799054,233.7993696375932,235.1767402021629
260,-2.2269176659937844,0.016360012206401615,-2.571918928596409,0.006607825018681754,-7.400004517184425,4.513544615739835e-05,-6.704308440573565,8.181010696204177e-05,-2.981366322952196,0.00237901842745745,289.48920290613404,282.67176740369416,240.98166596032314,243.53848427337797
270,-2.1845629748090287,0.011540866980263282,-2.685151489272859,0.005208958193201122,-7.405483713271895,0.00011655229254894052,-6.735862917680934,9.241244775898319e-05,-3.005644498248626,0.00395529943923781,291.6859685677712,290.0868275057342,250.48550544485988,246.23828384300288
280,-2.1438771561124814,0.008090820742941747,-2.580098508592521,0.006793930644364609,-7.404776621772668,5.8023895080948674e-05,-6.741469951273492,0.00010893604040162137,-2.983454006514719,0.004298251724741761,302.8139655315303,304.70597001188895,256.8163291661964,259.8566658323078
290,-2.1095516966884102,0.00834829821976064,-2.5688876122166056,0.0055629151618677855,-7.352418700504429,7.188345011177641e-05,-6.670842953782987,0.00011433095861960142,-2.935420564683312,0.0031773276853430624,317.1039961998412,314.5944354866847,271.6521760835305,271.662044694442
300,-2.0905833820986732,0.008278887940898734,-2.5595381743558066,0.010311297971273442,-7.310758420210337,0.00017261132900087687,-6.528894275870885,0.00011804825961906884,-2.949105917328089,0.003547415000687287,326.03702471796237,320.6873409030667,280.73123319747464,279.1126258116972
