,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-5.602882492402647,0.00048097690339448924,-5.324546358764846,0.0009544590826218218,-10.316279436004514,4.574374274990686e-06,-6.892866666488092,0.00010839985239777486,-4.0377846017655585,0.0013690131156269157,2498.799323784059,2498.8239478167543,2491.8687115462003,2491.9201213506362
133,-5.461219899023666,0.001018582072341988,-5.449679936766876,0.0001368540083437072,-10.366475846829745,3.910000000288778e-06,-6.895935409675944,0.00010212722898398763,-3.8818921141390312,0.0025708212315310565,3323.4484591939026,3323.4247551523636,3314.356627259691,3314.334374391725
166,-5.48868883713186,0.00021096150928295735,-5.293286044901063,0.00029183339013898,-10.17739822093568,7.874744441437109e-06,-6.810873607346196,0.00016613613123042965,-4.033849326958209,0.001110382349836862,4148.048538856643,4148.023865031648,4136.52625402056,4136.5354482098355
200,-5.627580054533123,0.00039576680772883806,-5.389720190021615,0.00037406524899287415,-10.313563273208354,5.409399229062302e-06,-6.679337660044042,0.00016766247910492257,-3.984673978647278,0.0027843991188215493,4997.647165424515,4997.634384147631,4983.990664195107,4984.203375084951
233,-5.542296478450139,0.0001763326674236938,-5.427374213472023,0.0002921196254947321,-10.38313755885603,3.817656350612578e-06,-6.806119692266058,8.976514691092196e-05,-3.947198762797846,0.0021033584757074834,5822.241488907536,5822.179362130168,5806.419973768563,5806.330416076264
266,-5.152964128120761,0.000961568603065936,-5.128378830533116,0.0005754568710156907,-10.055008360182073,7.112952972813664e-06,-6.693652472319288,0.00011645346066152546,-3.7255579562080348,0.003612891329046661,6646.833016523832,6646.789200965633,6628.6357553550215,6628.791518059004
300,-5.13602166196299,0.0012611433052590907,-5.436756783845454,0.00029441334480782383,-10.43689967498988,2.0169531471662818e-06,-6.7903901083977205,0.00010000370043354303,-3.985715521548925,0.002285902407561136,7496.4145201621095,7496.426398304242,7476.044991498394,7476.089564199365
333,-5.329915366540642,0.00067523389103372,-5.068137825961687,0.0010277723114093828,-9.863113658408553,1.1021542542759149e-05,-6.633789344141368,0.0002732025916790983,-3.7414265245646168,0.004412212511038508,8321.071372567074,8321.0337192615,8298.130485458722,8298.352013969086
366,-5.305706599813055,0.0004556799500732445,-5.349783307417464,0.0004826542650781847,-9.958577518880233,1.101969146623726e-05,-6.7073973597019325,0.0003591206961440532,-4.012174117945964,0.0018759347048440196,9145.729928491202,9145.635369969828,9120.711895730583,9120.765823206346
400,-5.262934778814515,0.000697528281576604,-5.419902119582865,0.0002762853843416215,-10.331505065093031,8.438181084254121e-06,-6.7386202839926455,0.0001646000352366573,-3.9789042153946843,0.003949745508893465,9995.24913986488,9995.218799637354,9967.928142336885,9967.990512856044
