,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-5.841139461257087,0.00019100152905275456,-5.662618458631314,0.00014257358415850876,-10.527855217662957,4.1882693332675055e-06,-7.030239347196574,0.0001154769916479637,-4.359112073631955,0.010148190316358071,2498.799323784059,2498.8239210021643,2491.8687115462003,2491.9201213506326
133,-5.776156412654563,0.00018427049926536906,-5.5982852683407565,3.4868164562813814e-05,-10.319609240845471,4.02487266887641e-06,-7.040121636237747,0.00018514802078256447,-4.282018222490951,0.006118626614012504,3323.4484591939026,3323.4247840276266,3314.356627259691,3314.3343743917226
166,-5.85412989604875,0.000280989782909932,-5.6564562386496995,0.0001480621545191405,-10.558568532258938,3.309395715822222e-06,-7.034225943035401,0.00013832471941045634,-4.159658907534242,0.005047664893064605,4148.048538856643,4148.023875573047,4136.52625402056,4136.535448209843
200,-5.859640110504195,0.00017936351942162535,-5.663393213751846,0.0001329304314299479,-10.523012593210112,5.6043643710289835e-06,-7.015897437601895,0.0001926265765657723,-4.267506628979979,0.008240919922943594,4997.647165424515,4997.634360030583,4983.990664195107,4984.2033750849605
233,-5.745730102463678,0.0002904720193068473,-5.637691409339875,0.00018205067316384905,-10.286213173719954,2.2894540832666356e-05,-7.026921771172477,0.00015592881196236895,-4.215550728726083,0.008363222777949618,5822.241488907536,5822.179336030263,5806.419973768563,5806.330416076262
266,-5.710716459259436,0.00022391495707101554,-5.640157182886091,0.00037629151584813716,-10.603457958462169,3.1266755521125045e-06,-7.079813682568977,7.230074757515312e-05,-4.136127589942961,0.010263952811542397,6646.833016523832,6646.789121098393,6628.6357553550215,6628.7915180590035
300,-5.530647990071369,0.00019072445464560269,-5.582692911591953,0.00022512318316861662,-10.360456503540513,2.803640490960784e-06,-7.057787783477899,0.00010836802849605505,-4.188055663383576,0.002268921563242926,7496.4145201621095,7496.426172647336,7476.044991498394,7476.08956419937
333,-5.4975271296921315,0.00016606485751039088,-5.401839572932157,0.0011318950700473687,-10.129635612854686,9.369717178910303e-06,-6.971217046692397,0.000168606864923042,-4.186370050422459,0.0027442267347636707,8321.071372567074,8321.03340601708,8298.130485458722,8298.352013969086
366,-5.338377151623808,0.0008967998151204246,-5.611103936403453,5.5511170947796775e-05,-10.530846992634515,2.9502542260813826e-06,-6.996018348103071,0.00014513590045101102,-4.222285747077772,0.008834625088421207,9145.729928491202,9145.63495238247,9120.711895730583,9120.76582320634
400,-5.5587916182156185,0.00021401043923045208,-5.635565103791793,0.0001527715955266967,-10.52078542079767,4.209524912924947e-06,-6.968184919809896,0.00016787390625104892,-4.211444704924926,0.001341050322836657,9995.24913986488,9995.21831208331,9967.928142336885,9967.99051285603
