,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-4.416390362101878,0.0009428396377442986,-4.402373025782905,0.0010232128304550495,-9.933946760025732,4.559166592434058e-06,-6.2498571092370305,0.002054471361711067,-3.4326851526584736,0.008423496738514002,99.94454673735223,99.94488846569261,99.59174137954832,99.6107659754809
150,-4.316902035313807,0.002285278892935735,-4.824329186180358,0.006145998787374259,-9.690313532297036,1.3362095644047277e-05,-6.6603875174445815,8.388599704379796e-05,-3.4485743196873138,0.0073173467844412825,149.91671425152663,75.45385521573905,149.41138895284385,149.42339606725145
200,-4.634843104740628,0.002887552684557491,-6.397065664465637,5.198084647166362e-05,-9.918601190331735,2.3299141608474963e-06,-6.613035529177735,0.0001065215682389264,-3.3596410709186797,0.00468671894055745,179.99738337208098,1.0,199.20733377216385,199.2126030379208
250,-5.684032789937949,0.0038804124937436494,-6.4934625822690295,8.469254984966803e-05,-9.902687872351452,7.057790021557072e-06,-6.632057228933183,9.461137616599018e-05,-3.4023758187610116,0.007742224159675054,75.65371280411634,1.0,249.0139870398445,248.99926194366998
300,-7.070780218832294,3.37953266004778e-05,-6.52292834714247,4.870400804924868e-05,-9.977134092689893,3.5109115628024146e-06,-6.697607812123162,5.015701745703818e-05,-3.5754722707261717,0.0068078026236591425,1.0,1.0,298.793732075952,298.81762307446917
350,-6.9174420445715565,2.340462347400168e-05,-6.3100127826929775,0.00014028302427809527,-9.866191767784425,3.856423214357582e-06,-6.559989907672892,0.000124554004350789,-3.330218913182358,0.005647454566850991,1.0,1.0,348.5772244600579,348.6171610600315
400,-7.021192770209902,0.00011955910003001556,-6.520583138279867,2.9322941533511856e-05,-9.96621438243932,3.7417108380101917e-06,-6.705435035681068,5.655912304676541e-05,-3.3519047665502844,0.008531278129550495,1.0,1.0,398.41653375509196,398.4298819795251
450,-6.861597147000604,0.00027465207882087193,-6.515638869641326,2.6932821984134196e-05,-9.985782795226367,3.1982026208393837e-06,-6.677993675366968,9.60297766334656e-05,-3.4085537087748454,0.005455306941612376,1.0,1.0,448.16681671282277,448.22610622341745
500,-6.9360313043352,2.4902762898575215e-05,-6.383109593713747,0.00010483735211857347,-9.882509146112396,4.98722367621248e-06,-6.57300595429321,0.00010632799678319342,-3.4118588270658594,0.006622586414163761,1.0,1.0,497.98398427139034,498.02362318034284
550,-6.97495333354573,0.00026259796819544823,-6.5437512584610005,0.00021315354465231972,-10.020920649456652,3.4412788321136276e-06,-6.6596303762774545,8.72953584108198e-05,-3.4860895259309346,0.007983733138283974,1.0,1.0,547.8357892027591,547.8410523415544
