,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
100,-5.071961380631806,0.0006455960369298781,-4.885509945973792,0.0006559560885483181,-9.989481265678704,1.455306153319919e-05,-7.01412741726947,0.00016292050484827624,-3.633449614135989,0.006782745577043731,99.94500725126545,99.94488846569261,99.59174137962982,99.61076597549254
150,-4.797919119403602,0.0016123298443236251,-5.131637505744183,0.004554500618246772,-10.005520278092318,5.2602756596469495e-06,-7.054898899028732,8.55748216492227e-05,-3.6456447743163642,0.004440697344955014,149.91744356459395,75.45385521573905,149.41138895304175,149.42339606734458
200,-5.354877136081751,0.0013822405595629247,-6.924006619567033,4.686606021316316e-05,-10.23840100466754,4.4888862756508845e-06,-6.935136753323744,0.00014763831108399037,-3.6429333554394807,0.007262412266269844,179.99785427635396,1.0,199.20733377223368,199.21260303801392
250,-6.1903204458658045,0.0022069795767297538,-6.898300120209296,7.363090383849883e-05,-10.258734944454128,2.1176638075948397e-06,-7.018977384687192,8.0520347739226e-05,-3.643373920909942,0.007721313560632559,75.65392630575545,1.0,249.01398703982122,248.999261943507
300,-7.42058290541845,0.00014573214470550895,-6.895866234588023,5.2976375866739163e-05,-10.208383605718238,3.451434484751145e-06,-6.952271589090196,0.00010996747882926518,-3.5501947081722345,0.006248460554033252,1.0,1.0,298.79373207692987,298.817623074376
350,-7.396020643307091,8.763636745194024e-05,-6.7086749383728765,0.00016907516553568182,-10.063656304661757,7.939269489539069e-06,-6.999662256254569,0.00020397130410909126,-3.7091288541794354,0.006571140227791342,1.0,1.0,348.57722445982506,348.6171610596124
400,-7.396395495615907,0.0001457912836892963,-6.922229527336292,5.6324240784475466e-05,-10.26790669122477,2.6732190327130447e-06,-7.01183883252549,7.598717325782213e-05,-3.6283568574926917,0.009872664714861888,1.0,1.0,398.41653375579045,398.42988197957163
450,-7.337984502236604,0.0001326972735208999,-6.868688423814848,0.00016388677310919108,-10.220117946901789,5.470658096725466e-06,-7.019838340400095,0.00013366006172308678,-3.556760115373556,0.008178322758231223,1.0,1.0,448.1668167123571,448.22610622332434
500,-7.450054370124662,7.247560210107398e-05,-6.923132911023759,7.10652545189374e-05,-10.277744733466324,2.750436328372271e-06,-6.991223848224122,9.080772874538547e-05,-3.575034929998831,0.007353340616051969,1.0,1.0,497.9839842711575,498.02362318048256
550,-7.303557226179404,9.256412047754831e-05,-6.697769918205329,0.0001219917718564081,-10.113468117331323,4.747220238740168e-06,-7.060626777309166,8.028790942517626e-05,-3.64716262743092,0.004598199154065145,1.0,1.0,547.835789201688,547.841052341368
600,-7.370012985495786,0.0001052625688447565,-6.86993939829957,0.00015248238718210903,-10.243164920136163,3.948164130285776e-06,-7.014071807030638,8.060286843592137e-05,-3.5750556560613624,0.0070005491612549365,1.0,1.0,597.6369885636493,597.6317665738054
650,-7.236037148420372,8.642811116813848e-05,-6.786529288215792,0.00020270097582565527,-10.186381108280392,4.8373133045705125e-06,-7.03457779793869,0.00010236290783212327,-3.603864328162363,0.005696257254943102,1.0,1.0,647.4273074444384,647.4467061228119
700,-7.116700110894321,8.586113439821886e-05,-6.711884265406601,0.00011969298266948618,-10.088853739547153,4.109793181295728e-06,-6.835704421239175,0.0001807805600700972,-3.5929815802809033,0.007103791891261697,1.0,1.0,697.2358613683842,697.2299975671806
750,-7.408614070379917,8.776338017755595e-05,-6.733801971860134,0.00013545325392989039,-10.173198739667868,3.2645979843998935e-06,-6.926754628991056,9.865376627455732e-05,-3.607160466069674,0.007086508316336367,1.0,1.0,747.0238461319357,747.0395602344536
800,-7.224385673389732,0.00012121994885213934,-6.621734585858326,4.7327810004678426e-05,-10.087410390711002,4.418597062546556e-06,-7.008559523558246,0.00015576860049399682,-3.55527188958279,0.00465326683154469,1.0,1.0,796.8175389049575,796.8191295935773
850,-7.243913564889694,0.00010355851920437055,-6.812526920706977,0.00015631070628677857,-10.210012712823385,5.422729938965325e-06,-6.835425315119939,8.455430740052348e-05,-3.5763664822155756,0.007469481246513668,1.0,1.0,846.6350456269458,846.6218553991057
900,-7.287684227946282,0.00019261340789377855,-6.702376592612583,0.00013276111215250884,-10.138450680653184,4.4712526211179085e-06,-7.077737282180625,6.966686156334395e-05,-3.609310296584659,0.008924294778103812,1.0,1.0,896.4367570852861,896.4228650071658
950,-7.423107800371306,7.090088081292064e-05,-6.667998494814576,9.469271566439291e-05,-10.102914577256309,3.770729371821579e-06,-6.555353451816017,0.0013962211635688989,-3.567615725746008,0.010598474206106106,1.0,1.0,946.2177955787629,946.2804508345201
1000,-7.346787511934753,9.451204367627166e-05,-6.864571276201329,8.473527070100047e-05,-10.139716343411294,6.328633344354241e-06,-7.0198271544048305,7.511373775799556e-05,-3.590038364480487,0.01038844550432172,1.0,1.0,996.0638202550821,996.054641282931
1050,-7.3391537691181306,0.00021676854476772368,-6.898052503521402,5.977980010078738e-05,-10.266180568817143,2.843395857879173e-06,-6.884478302077616,7.00150590952424e-05,-3.5802520076400812,0.00638206642475731,1.0,1.0,1045.8255743768066,1045.8165053305215
1100,-7.3457642401691965,0.00019884309291604688,-6.908075330192737,2.641748663359832e-05,-10.2736820465849,2.9387242134000405e-06,-6.784600032858512,0.00016068650347837718,-3.578615466345754,0.008071426421025409,1.0,1.0,1095.6465752867982,1095.6217753898352
1150,-7.332907921010274,0.00023099990497732982,-6.913984641232345,2.861385853087818e-05,-10.279782283335166,2.592990552443399e-06,-7.077701724306803,8.272937144496097e-05,-3.5668373475767376,0.008780361657372768,1.0,1.0,1145.44087230172,1145.4536696804687
1200,-7.328161450958653,0.00011331837273857703,-6.901206767362415,3.261987277744332e-05,-10.249363869214863,3.1830174356882372e-06,-6.988553271812385,0.00010058584194575296,-3.5591380887081905,0.005447086032895314,1.0,1.0,1195.2471990643069,1195.2424383956939
1250,-7.379280064598017,7.273761406473742e-05,-6.88615035522842,7.151070129910731e-05,-10.240359869155833,3.078636062161771e-06,-6.898062407012003,9.077556058729723e-05,-3.6142785496522487,0.005098437733474805,1.0,1.0,1245.0417048363015,1245.0594193877653
