m_list,n_list,SOCPtime,time_eig_list,LTRtime,RTRtime,ratio1,ratio2
500,1000,0.19,0.073,0.003,0.053,63,18
1000,2000,0.579,0.392,0.004,0.117,145,29
2000,4000,4.284,3.16,0.006,0.26,714,43
3000,6000,13.059,10.905,0.008,0.242,1632,30
4000,8000,26.882,25.215,0.01,0.439,2688,44
5000,10000,49.869,45.462,0.009,0.391,5541,43
7500,15000,141.507,134.525,0.014,0.716,10108,51
10000,20000,310.991,289.447,0.02,0.979,15550,49
12500,25000,587.124,540.314,0.03,1.301,19571,43
15000,30000,991.07,912.015,0.037,2.171,26786,59
