m_list,n_list,SOCPtime,time_eig_list,LTRtime,RTRtime,ratio1,ratio2
2000,1000,0.851,0.072,0.013,0.173,22,13
4000,2000,0.981,0.386,0.009,0.132,84,15
8000,4000,5.341,2.947,0.026,0.672,175,26
12000,6000,16.149,9.956,0.053,2.543,259,48
16000,8000,36.9,22.865,0.095,4.474,326,47
20000,10000,64.521,41.871,0.171,8.557,330,50
30000,15000,173.231,129.377,0.396,22.335,434,56
40000,20000,379.145,312.681,0.718,42.438,581,59
50000,25000,720.837,587.333,1.151,43.646,680,38
60000,30000,1217.779,971.861,1.698,93.219,765,55
