,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
150,-4.41336540411756,0.004504586550439388,-4.308209047534951,0.0013325452660603585,-9.544974299323858,7.45348240758468e-06,-6.358449600898308,0.00048462342958227795,-2.3658877962853015,0.014157646455926124,52.461855017282346,56.92114485355006,54.97946980988721,53.72894573680628
240,-4.255459536549832,0.0018053549784184779,-4.19033115073923,0.002860498622984979,-9.347765047889924,1.4182820593963828e-05,-6.401257004701922,0.00022867593248967994,-2.5177665881956184,0.014699482573363,92.96217849972462,91.02462631719428,83.57483898636967,88.35340539893707
330,-4.519423775397889,0.001130013458326916,-4.27357625755837,0.0005391716258296459,-9.634988299502583,4.346492839012843e-06,-6.4471834900291025,7.740039793172449e-05,-2.419622426077921,0.0067156017111189925,116.02172030439067,125.49440454484318,122.5574385561326,116.67616903762544
420,-4.396659575854329,0.0011626458427226147,-4.2807314914557475,0.0006307735317847035,-9.643587861099206,2.4335981590486744e-06,-6.4613785803674775,0.00010027180261687574,-2.4184358710687475,0.01358548200078875,149.98310738918371,146.99422694322,152.62699631615047,156.05502414190914
510,-4.362570734147163,0.001310520214876336,-4.33087507032953,0.0006034009314704893,-9.542322703324027,8.850564953591624e-06,-6.425792199901423,8.232323183648991e-05,-2.549757543474419,0.017618069802802394,184.62343803078446,184.15170078587394,177.56843931001072,182.4566086938722
600,-4.628934329739078,0.0014181523008479043,-4.713215413372641,0.0016526369256731886,-9.714355903816019,1.764219090711411e-05,-6.743945682753378,9.061362425156738e-05,-2.716850376543378,0.008599297914466116,216.15739850985193,217.3754727036823,214.67190515574785,214.57018305592834
690,-4.771450297518473,0.0008985797432057584,-4.623581641412764,0.0011697685839940047,-9.616055511337702,1.744117255248162e-05,-6.793498453102355,0.00011171195280721391,-2.704068247007733,0.012205365931230255,255.32590446845984,248.33592009991335,252.19763938656388,247.4719837946649
780,-4.658308338975965,0.0008435499314806046,-4.581741786812991,0.00041696395347803113,-9.880552581254824,8.04738466839931e-06,-6.724134566456727,6.537304031480962e-05,-2.656236982234437,0.009300148451464884,282.4076895678126,279.5076078008329,275.54152069215354,276.5750673286164
870,-4.73602858282249,0.0005638623782444167,-4.538452166683125,0.000979241494423056,-9.707591875720436,1.035942083314535e-05,-6.69861329370371,7.442371665017665e-05,-2.8004511194039883,0.011919619040508566,318.98955456200395,311.0623725364819,311.9819949029152,319.6374184945839
960,-4.751306400941579,0.00026459001870838357,-4.546666399789724,0.0011012896317044844,-9.88035713514271,4.294659474377827e-06,-6.756408526487696,9.071433183346926e-05,-2.735233933072684,0.004941791460742257,350.2562662896842,347.8648866226189,345.8662949534163,339.3617112415316
1050,-4.752654469030864,0.0001612094674641456,-4.445839232690805,0.0010316665383736092,-9.910713597629082,2.9736173257889653e-06,-6.730513267931589,0.00010396459782030554,-2.6446881488157317,0.011810913352756339,386.3091614954757,383.50211893975063,377.192053210251,382.4286296167978
1140,-4.871328237774751,0.0006882496724303688,-4.677941974310144,0.001198957440487667,-10.025429223350493,4.565347741585242e-06,-6.754828204597865,0.00011391763866885908,-2.833760554217748,0.009674742881520692,414.59895639079457,418.33132381589775,412.9130798380126,411.3994505963453
1230,-4.705630505021741,0.0005629946863869702,-4.530743835950597,0.000997640956657339,-9.921447877921102,3.5666370714385723e-06,-6.672667346650713,0.00010093004309930156,-2.796058673859206,0.008304047469298075,444.7026671813711,444.97756828189165,445.6775485008995,446.47005569479614
1320,-4.634352888963835,0.0008122465714913956,-4.591834502803015,0.0011968880985713142,-9.858514186891176,1.0500095237249439e-05,-6.665185641843007,4.654693974925689e-05,-2.7607325576325903,0.010468478345155881,478.9941867051305,478.70557711615385,473.12470240377934,477.2801044758806
1410,-4.643926606941718,0.0005849378005388236,-4.452348674828549,0.001399357291079318,-9.706277383264696,1.3714226190225214e-05,-6.688081741207104,0.00013577906355547085,-2.747050695466376,0.011893003251942999,509.28766160470667,510.32277249712416,505.582872721744,504.03268687631424
1500,-4.684903025009294,0.00016018476238335174,-4.384745527515463,0.0009966500882459934,-9.762856422796274,1.0068689090422863e-05,-6.681767775535941,0.00011458229531591856,-2.71299694134513,0.006771494983526366,544.9361695884842,544.1751923928662,538.880393958579,540.056328646447
