,ssdp_mean,ssdp_std,socp_mean,socp_std,socp_eig_mean,socp_eig_std,ltr_mean,ltr_std,rtr_mean,rtr_std,optval_ssdp,optval_socp,optval_ltr,optval_rtr
150,-4.799092370626468,0.0036309471405677972,-4.772949988466188,0.001358074997929414,-9.919007364191682,1.3891583783047695e-05,-7.034918420600956,0.0001050604821048375,-2.7679561386047595,0.018637711986906672,91.36772966671398,95.70891480604126,92.01836051680814,88.83634072692418
240,-5.3267909178874815,0.000863690844226161,-4.8572033010339215,0.0013040357636579225,-10.183466040602472,4.126124089373433e-06,-6.8620747064903735,0.00010080587482859877,-2.81087074875975,0.014334473576492313,152.55759132997372,152.6777105429802,144.62456207695112,147.81873682987762
330,-5.303778250067766,0.0012850448412793471,-4.834819856268646,0.0012444026669847503,-10.144795074486563,3.3781059783552644e-06,-6.87598533089308,7.380563393151621e-05,-2.7392137274346773,0.013589479572648671,195.42376829302628,206.95964574180283,200.86332632036707,193.09832008144596
420,-5.438701902694486,0.000703619895682388,-4.745924170274136,0.0013187795585689938,-9.773336868063089,8.751257052878853e-06,-7.013638153267846,5.716446536101457e-05,-2.7388029834908583,0.012601725415541906,252.95314180774548,247.7332456870522,256.44717591230756,263.0520433988477
510,-5.47271599281131,0.0005128310315295376,-4.9274616467796895,0.00030326610113935043,-10.079270532494304,7.3313300295499726e-06,-6.995952813724039,0.00010053911477579807,-2.775086436011506,0.010134931308103109,308.53780271987233,313.28658753472183,304.1928634429643,307.3192384036173
600,-5.482499853799473,0.0005843719497037168,-4.853017631206334,0.0013416650442269991,-10.132649176177303,3.720537595353628e-06,-6.8716451679704456,8.230645235984046e-05,-2.803244688116476,0.011853124847930272,359.4685209017851,365.69622472402995,362.7416485673981,368.5402054246
690,-5.475438867100412,0.0003566889049305212,-4.8992486719450525,0.0011869142915975589,-10.210828262656003,3.6986619202166594e-06,-6.636301678735395,0.0002768274048931389,-2.7904325225660913,0.006507978820778754,418.9534101239973,417.64385784559255,422.7482496749441,424.88566249232156
780,-5.27116923462914,0.0006671863577740018,-4.755930286996281,0.0015069902164241782,-10.007515622974537,9.067767090466732e-06,-6.960354689124787,9.219445970319857e-05,-2.794815866123414,0.008043760092872247,472.71333210598715,482.126163071731,465.52938674090774,465.7595175944237
870,-5.298925551454975,0.0008048203864220382,-4.859469063309982,0.0012898121243049008,-10.115443914463818,7.431184293372507e-06,-6.895836589588318,0.00019172061678391963,-2.8896654077217097,0.004238320375604343,539.3118687773213,523.0739799278483,531.6827829950782,530.9611662403635
960,-5.2277955311890585,0.000743038883504877,-4.810970012984533,0.0013895717780666836,-10.134915323421174,3.2765988464687243e-06,-6.853645953335335,8.199401197632095e-05,-2.767617449955058,0.007695440300703001,591.0397692500769,587.2089966759421,580.9132359384508,585.2181885990049
1050,-5.293093037153157,0.000516011551130645,-4.710290730441271,0.0012151701051298061,-9.975628230312262,5.743831473801847e-06,-7.033930934353782,6.662693449417397e-05,-2.69018808613087,0.00996697612730616,646.2962608612165,646.9084000806993,643.3826228299779,647.417074375965
1140,-5.328327190484584,0.0007228201004398563,-4.764543479953705,0.0015213946909334059,-9.999998452906313,8.250939340046179e-06,-7.004596630431937,7.662434339080358e-05,-2.763555386226049,0.011355383325222897,698.6335744627811,702.1208603797955,691.743233090297,697.5841963807936
1230,-5.400006850916614,0.0006041567350450071,-4.94703815341812,0.00021289786659345328,-10.09440595655708,5.030596386223081e-06,-6.9698115501202444,8.77172394682456e-05,-2.7774380081240455,0.008346673512234615,748.3953725375626,753.0323412182324,749.342523280574,756.045314096424
1320,-5.48208637038816,0.0002752566046434356,-4.743833581986406,0.0016228055086492377,-9.923282179861145,9.181917010848413e-06,-6.868053912130031,6.719224657662802e-05,-2.7313177736894776,0.005058181723690463,805.8044994904438,801.3113991119124,799.2588493948263,805.0086782897708
1410,-5.186225159651354,0.0007109248593213976,-4.721546711244068,0.0012532900845392825,-9.831539053221134,1.1659678382946708e-05,-6.807059626901419,8.089110210601977e-05,-2.8329768873866144,0.011898424569288555,857.092703463499,857.3715307117245,852.8809859514029,857.9319250421904
1500,-5.1489805404593945,0.0008320105345478036,-4.832557730314137,0.0013176212595431519,-9.930036887780014,9.729486111126952e-06,-6.828897888903872,0.00019121478630088127,-2.763419300452712,0.013688886872925871,914.5495383658069,913.1485278526479,911.5994712523021,914.0347298542187
